post_id,sentence,after,third,treatments,sentiment,factual
post-93901,"As a good sign, Autifony is not going to the stock markets, wich at leasts tells me is not a fraud market operation and they believe in their product so not selling part of it, as happened with AM101",,,am101 (am101),neu,no
post-187283,This researcher just figured out why and how LLLT would work on the nervous system without even being aware of LLLT.,For this exact reason university's are creating multidisciplinary studies around the world so that absolutely crucial research gets linked.,"Microstructure research in animals is not quite like substance research, nerves are nerves, they all function in the much the same way because there's only one law of nature and we have common ancestry.",lllt (lllt),neu,no
post-222558,"There is no TRT available in the North Pole where he lives, but he doesn't even know if that would even work.","Legend has it that if you leave Ginkgo Biloba out overnight on Christmas Eve, you may wake up and see Santinnitus Clause hanging over your fireplace, or collapsed under your Christmas Tree.",Good thing I don't have a fireplace or christmas tree.,trt (tinnintus retraining therapy),neu,no
post-14901,"If you have the resources to do HBOT, I HIGHLY recommend it.",The difference from how i'm feeling pre HBOT to post HBOT is tremendous.,,hbot (hyperbaric oxygen therapy),pos,yes
post-225463,"I just give up, none of these issues are curable, and if they were I've finished the job with HBOT (didn't know oxygen was toxic to me in this situation), how can I find the will to live, with no music, lost ALL my interests, career is now over, and trying to cope alone...is there a painless way out?","I wake up everyday now just thinking I need to do this, to exit, I LOVED LIFE, so it's impossible... My TINNITUS is also like a constant reminder of what an idiot I am falling into this HELL  If you had to say this is the END, how would you go?",I'm thinking train but haven't got the guts,hbot (hyperbaric oxygen therapy),neg,yes
post-68303,"Here is the thread: https://www.tinnitustalk.com/thread...dexamethasone-others-oral-and-injections.348/ I will post soon about my experiences, as I've gotten medrol injections 8 months after the onset and it helped a lot for me.",,,medrol (steroids),pos,yes
post-163041,"I had a direct injection and a tapered 8 day course of Prednisone, two weeks after my SSHL and initially my T was silenced, but after that, my T came back and my hearing was still gone.",I even had an intratympanic injection of cortiosteroids done and it did zip to restore any hearing.,,prednisone (steroids),neg,yes
post-138868,is this cbd oil cheap?,"http://www.zamnesia.com/359-cbd-oil  Its on the site where Rick hit his head and got T, wonder if they deliver to Canada.","I sent them a email, waiting for them to respond",cbd (cannabis),neu,no
post-31475,"even with the Zoloft in your system, it sounds like you are still getting panicky in the middle of the night, and that panic can make your tinnitus even worse.",,,am101 (am101),neu,no
post-178083,Have you tried a masker?,"I use it everywhere, although most of the time I am by myself, when I have to see people, I explain to them that I am not listening to music, but a low-level noise to cover or mix with the noise in my ears.",I avoid silence.,masker (masking),pos,yes
post-67618,TRT is but one of them.,Good thing to keep in mind.,Dr. Stephen Nagler,trt (tinnintus retraining therapy),pos,yes
post-220760,Some people ask for a steroid (Prednisone) as it may help.,"However, taking steroids has side effects.",A question for the doctor for sure.,prednisone (steroids),neg,yes
post-166957,Shall I get some in-ear tinnitus masking devices ?,"I cannot live with myself if this is permanent, I'd take even a 50-60% reduction at this stage.","I'm 19 years old and last night my heart was pounding because my silence is robbed, I dread the evenings knowing how difficult sleep has become, my anxiety has been through the roof and I desperately need some hope this will resolve.",masking (masking),neu,no
post-184049,Trobalt can't cause T,,,trobalt (retigabine),neu,no
post-20140,"I have taken Ginkgo, and just about every supplement that has been mentioned on this forum with no results.","Also Benzo drugs like Xanex, Klonopin, etc.",with no reduction in T. These drugs only help lower your awareness of T thus a perceived lowering of the volume.,ginkgo (ginkgo),neg,yes
post-64207,"We can offer pure retigabine for you, purity 99% for 1kg price USD16500 including delivery fee to you USD8700 for 500gram USD5000 for 250gram USD3000 for 100gram USD120 for 1 gram sample delivery fee time after fee paid 1-2 weeks will be ship ship time : about 1 week ship to you .",,,retigabine (retigabine),neu,no
post-222971,And it's safe There is a LLLT thread in the experimental section .,Dont waste time LLLT does not work well after too much time has passed.,,lllt (lllt),pos,yes
post-153327,Current Tinnitus Severity:  3 out of 10 Changes in Tinnitus:  At this moment when i am under trobalt it is this lvl.,I got new worsening of tinnitus to lvl 13. that is 8th worsening in last 2 years.,"I am person who think in 6 directions and i suppose my brain makes stress and therefore my t get worse + 3x meds, paracetamol and corticosteroid injection) .",trobalt (retigabine),neu,yes
post-86289,Would you consider doing TRT?,,,trt (tinnintus retraining therapy),neu,no
post-5134,The hearing aid amplifies the hearing frequencies you may have lost and the noise generator helps make your tinnitus less noticeable with masking.,,,masking (masking),pos,yes
post-26085,The lidocaine shuts down abbherent neuron function and allows for an opportunity to reset the auditory communication path ways should the dexamethosone have a positive effect on the targeted lesion.,In cases where dexamethosone reaches the lesion in the early stages of tinnitus it is very effective at ameliorating the malady.,As time passes the lesion becomes more permanent and less receptive to repair/reversal.,lidocaine (lidocaine),pos,yes
post-177422,"I've been prescribed oral steroids 25mg for a week, skin condition, but as usual, scared to take them.",When I asked dr if they can make t worse he said I'm very negative about my t and that only loud noise and hearing loss make t worse This is the sort of ignorance I deal with here in Australia!,So it laughable when somebody say: you need to check with your dr!,steroids (steroids),neg,yes
post-2839,"And, as you say, the enzymes may make the magnesium even more effective.",The combination seems to be a good one.,I'm continuing to take 3 enzyme capsules per day; that works for me right now.,magnesium (magnesium),pos,yes
post-84851,"In my opinion Retigabine will ultimately be found to have no pharmacological efficacy whatsoever against tinnitus - but pursuing Retigabine research is important to many in the Tinnitus Talk community, which makes it important to me.",Dr. Stephen Nagler,,retigabine (retigabine),neu,yes
post-16291,"It's available online at Chinese herbal Medicine site, but I didnt buy online, once I ran out of it I started drinking camomile tea and yes magnesium Supplements at bedtime.","I have an air purifier running in my room too, for sleeping.",I live now at a small remote town in Canada  Where I wouldn't find any Chinese herbal stuff !,magnesium (magnesium),neu,no
post-72264,"I'm hoping treatments will come out within the next 5 years, because getting trobalt is impossible...",,,trobalt (retigabine),neu,no
post-69472,"@bwspot, perhaps look at it this way ... TRT is of course nowhere near as serious as, say, open heart surgery.",But the analogy still holds.,You can read a book about the principles of open heart surgery.,trt (tinnintus retraining therapy),neu,no
post-170759,"So again , if your expectations are to get a 20% improvement of hearing loss then yes it may work - if you expect to be cured from  tinnitus then obviousely you haven't figured out how LLLT works and its limitations .",,,lllt (lllt),neu,yes
post-1750,As with the laser - the very cheapest acupuncture pens are poor quality and not worth buying.,Obviously It would be good if we could gather together a few more reports - I would be very interested to hear if anyone else is using these devices and whether they are getting results similar to mine.,,laser (lllt) | acupuncture (acupuncture),neg,yes
post-44776,"This may be a shot in the dark, but I was wondering if anyone out there is aware of a reputable TRT program in Orange County, CA?",Maybe even in Los Angeles?,It would be ideal to have a little bit of feedback from fellow patients before looking into/investing in any kind of treatment.,trt (tinnintus retraining therapy),neu,no
post-83680,The advice about steroids is also very questionable.,,,steroids (steroids),neg,no
post-134199,A randomized trial of nortriptyline for severe chronic tinnitus.,"Effects on depression, disability, and tinnitus symptoms.","Sullivan M1, Katon W, Russo J, Dobie R, Sakai C. Author information Abstract OBJECTIVE: To determine whether the antidepressant, nortriptyline, is effective for treatment of depression, tinnitus-related disability, and tinnitus symptoms in patients with severe chronic tinnitus.",nortriptyline (antidepressant),neu,no
post-158717,"I only take Remeron 7,5 mg at night, but that's nearly nothing.","At the moment, I try coping with a strong will, exercising, masking and from time to time a Trobalt or a Lorazepam.",Some days ago I took 200 mg Trobalt.,remeron (antidepressant),neu,no
post-149760,Did this happen with a lowe dose of gabapentin?,I woke up early with really loud T. Did gabapentin ever decraease your T by itselt?,"I became upset and took Trobalt 300 mg, listend to music with my earplugs and my T came down to o then went up to to 2.",gabapentin (gabapentin),neu,yes
post-230297,"I was wondering, I know that prednisone and salt are both NOT ototoxic, but is it possible that the two together in the blood stream could have cause some kind of chemical reaction, with the extra salt at dinner making the prednisone ototoxic ?","and got into my ears some how, and cause a problem or a spike ?","I know not likely, but is it a possible ?",prednisone (steroids),neu,no
post-22730,"Celexa is a big no no, I copied a link for you to check out   Arches Tinnitus Formula |   Ototoxicity: Medications that Cause Tinnitus I'm sure your doctor could be able to prescribe a non ototoxic (ear damaging) medication.",Get a Doctor and overrule him by asking for auditory test etc.,Your not crazy we've all got the T in some shape or form it's how you deal with it.,celexa (antidepressant),neg,yes
post-211922,"@Michael Leigh in this thread on TRT you have 13 posts alone...    ...and you have used the word TRT in no fewer than 117 posts alone at this point:    Do you have a ""hidden agenda""?",,,trt (tinnintus retraining therapy),neu,no
post-242169,I've heard that Prednisone if taken within a certain amount of time can help if it is acoustically related.,Would this be worth going into an urgent care tomorrow morning?,My ears have been acting up all week and I have an ENT appointment on Friday since the spray isn't helping much.,prednisone (steroids),neu,no
post-137740,"Stress-induced, I am also on Mirtazapine - for depression and anxiety Though 45mg - o i sleep very well indeed.",i am worriedhow \i will get to sleep when i eventually come off the meds...!,I listen to the radio to fall asleep to.,mirtazapine (antidepressant),pos,yes
post-198110,As far as the vitamins I am currently taking magnesium which I just started up and a prenatal vitamin .,I'll have to research additional vitamins because I am breastfeeding as far as which are save to consume.,"Also, I am going to ask about TRT when I see the audiologist as I have been struggling with feeling down lately .",magnesium (magnesium),neu,yes
post-197570,#NAME?,:  yes - since when: 1 week - results: none - other medication/treatments used: various supplements - other relevant remarks: have had mild T (2-3) 10 years ago which subsided completely (!),after about 12 month.,lllt (lllt),neu,yes
post-247549,Could my tinnitus be caused by Wellbutrin and Abilify?,I quit Wellbutrin for 5 weeks after I heard the ringing and my Abilify since 2 days.,Is there hope?,wellbutrin (antidepressant) | abilify (aripiprazole),neu,no
post-210721,"However, such a positive effect could not be demonstrated using other Ginkgo extracts [37].""","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4912078/ So if anyone's gonna try ginkgo, I think it's better to try egb 761.","In North America, it's only available by nature's way.",ginkgo (ginkgo),neg,yes
post-231200,"I have noticed that when I use certain masking sounds - like 'wind chimes' from a particular app, it kind of resonates with my left ear's T and after listening for a while, it can even settle a spike in that ear.","I have different T frequencies in my left and right ear, and this sound doesn't do the same for my right ear.","I don't know if over time it can help me cure T, but since I need masking (when trying to sleep), I will continue to listen to 'wind chimes', since it seems to soothe my T a bit.",masking (masking),pos,yes
post-45226,"If im going to be in a nerve racking situation, I will take a klonopin so i agree with you.. Theres nothing wrong with it.",,,klonopin (clonazepan),pos,yes
post-57447,"I don't see a place for am101 when we have other companies trying to achieve better, more easier treatments.",,,am101 (am101),neg,yes
post-243633,"Hi, I'm new and wondering how it's going with the T. Have you gone back for a repeat of the acupuncture?","My T might be due to head trauma, I'm not sure.",First stop for me will be ENT but first available appointment is May 1 :-( .,acupuncture (acupuncture),neu,no
post-141259,Trobalt neurontin or trobalt ibuprofen ?,"I would stay well away from ibuprofen and diclofenac , pretty much to only thing I can absolutely count on spiking my T.",,neurontin (gabapentin) | trobalt (retigabine),pos,no
post-100801,"Cat's Claw is promising because it has anti-inflammatory properties similar to prednisone, along with pro-immune system enhancements, without the adrenal perils and side effects that  prednisone offers.","So I am cautiously optimistic, but trying not to have expectations too high.",The medically-accepted approach to dealing with this sort of condition is to correct the underlying physical condition that is causing the aggravation to begin with.,prednisone (steroids),neu,no
post-73517,Will I make better results if I take NAC?,I'm scheduling 10 treatments.,,nac (nacetylcysteine),neu,no
post-249743,Also i could fall asleep yesterday without any masking sounds.,"I hope, that will give u some hopeful thoughts.","also i could hear the sound over everything, it was like the sound was sliding above the background sound.",masking (masking),pos,yes
post-7544,"RESULTS: A significant reduction in the VAS (loudness and annoyance) occurred immediately after rTMS, with a gradual return to pretreatment levels after 7 days.",The tinnitus patients with sudden deafness were significant resistant to rTMS treatment compared with those diagnosed with age-related hearing loss.,CONCLUSION: These results support the potential of rTMS as a new therapeutic tool for the treatment of chronic tinnitus.,rtms (transcranial stimulation),neu,no
post-215619,But the steroids didn't help me and the tinnitus cerntainly remains.,"After a lot of searching, I could made an appointment with a Doc who is supposedly the expert in the matter in Argentina.",I had to wait two months for the appointment and I will have to pay a money I don't know if i have.,steroids (steroids),neg,yes
post-73391,"Ok, from now i have complete set of trobalt boxes - 2x 200mgx84 and 2x 100mgx84.",I can continue with this experiment,,trobalt (retigabine),neu,no
post-228345,@SilverSpiral NAC + ALC (Acetyl-L-carnitine) before breakfast.,,,nac (nacetylcysteine),neu,no
post-220161,"I heavily doubt there is some secret sauce to any of the top ""trt"" practitioners.",If tinnitus wasn't so subjective I'd perhaps think otherwise - but reasonably all the practitioner has to work with is the subjective description of symptoms coming from someone in emotional distress.,I highly doubt that it's the most accurate information.,trt (tinnintus retraining therapy),neu,no
post-11331,"Even with the Zoloft in your system, it sounds like you are still getting panicky in the middle of the night, and that panic can make your tinnitus even worse.",Try some of her suggestions for calming down.,The tea is a very good idea!,zoloft (antidepressant),neg,yes
post-132019,CBT?,Please let us know what your thoughts are.,"There are lots of great suggestions on Tinnitus Talk for ways you can cope with tinnitus, and I'm sure you have some suggestions for other sufferers, as well.",cbt (cognitive behavioural therapy),neu,no
post-213990,I think you should check out the Hyperbaric oxygen chamber to get oxygen to your ears.,You are still in your early stages.,,hyperbaric (hyperbaric oxygen therapy),neu,no
post-147095,Wish I could have a nice hot cup of coffee to wake up most mornings   Still taking NO sleeping meds since abandoning the melatonin a week ago.,Not sure if I should resume it once the Prednisone ends after Friday.,The H seems to still be more tolerable  at most times.,melatonin (melatonin),neg,yes
post-44436,"My tinnitus reacts much like hyperacusis to loud sounds and overwork, and even well-meant masking noises can be overwork.",This post is overly long so I'll briefly relate my other discoveries.,"First, I verified last night an observation I made some time ago.",masking (masking),neg,yes
post-85816,"If its within the first two, are u then willing to use it for 1-3 years and only getting somewhat ""ok"" treatment, when u could be pretty sure u would get optimal treatment if u had just bought a tested expensive laser or done clinic treatment??","If u dont make a great laser right out of the gate, then u need to go back to the drawingboard and start over and with more time wasted.","And in this hole process, i cant imagine u have nasty T every day and then have the patience to do this with no garanties of succes.",laser (lllt),neg,no
post-158173,"My ears have been through a lot in the past month, coming off Sertraline, getting my ears irrigated, getting a URI, and then being exposed to loud noise, all in that order.","My question is, and I hope you can answer engineerLA, is which of these things caused it?",,sertraline (antidepressant),neu,no
post-247314,funny how they love to hand out antidepressants and benzos like candy though.,,,antidepressants (antidepressant),neu,no
post-143479,"Hey Marcus, it says bio magnesium on the foil n I do not know what's the strength.",Made by Pharma Nord in Denmark.,Juicing recipe :  1 beetroot with leaves  A handful of parsley half Apple seeded 2 carrot I agree fully that stress n anxiety has a close co-relation with T.  I also take a B complex (with higher b12) to help with nerve repair.,magnesium (magnesium),neu,no
post-15895,"Perhaps test Magnesium levels, too.",#NAME?,,magnesium (magnesium),neu,no
post-71504,"If u really want some one to tell u are story the heard about a guy that knew a woman whos parants had a son that maybe had a permanent worsening after LLLT, then just let me know.","I can try google a scary story for you, so u have an escape goat.",There are many ppl on this forum that had some degree of positive reaction from LLLT and the rest is just saying its a scam and does not work.,lllt (lllt),neu,no
post-111061,The only one that currently uses Kv3.1 is Retigabine?,"And, of course, the far away Autifony?",,retigabine (retigabine),neu,no
post-106245,"Take 1800 mg. NAC before you go, then 1200 mg daily for the next two days.","Its available at health food, drug stores.",Here is a TT thread about it: https://www.tinnitustalk.com/threads/n-acetylcysteine-nac.395/ Take breaks.,nac (nacetylcysteine),neu,no
post-45543,I really belive the xanax or an antidepressant will help as well and again finding the right clinician.,,,antidepressant (antidepressant),pos,yes
post-188492,"I have been more or less successful and managed to keep the devil in control by regular excercise, taking some chinese herb medicine and acupuncture.",Before that I have tried several other staff (betahistamini etc.),but nothing was successful until the chinese herb medicine and acupuncture which helped to lower the volume.,acupuncture (acupuncture),pos,yes
post-128326,They got me in right away and did injections and oral prednisone.,It was to late to have significant improvments and still have one more to go.,I feel so dumb not going to an emergency room or calling a ENT right away.,prednisone (steroids),neu,no
post-240465,I'm not sure about antidepressants...,,,antidepressants (antidepressant),neu,yes
